Guardians of the Galaxy,Action,704613,8.1,2014
Interstellar,Adventure,961763,8.6,2014
The Grand Budapest Hotel,Adventure,492158,8.1,2014
Gone Girl,Crime,589116,8.1,2014
The Imitation Game,Biography,489175,8.1,2014
John Wick,Action,263235,7.2,2014
X-Men: Days of Future Past,Action,524078,8.0,2014
Ouija: Origin of Evil,Horror,6144,6.6,2016
The Equalizer,Action,235859,7.2,2014
Maleficent,Action,257707,7.0,2014
Whiplash,Drama,420586,8.5,2014
Fury,Action,312068,7.6,2014
Kingsman: The Secret Service,Action,410076,7.7,2014
It Follows,Horror,120440,6.9,2014
Edge of Tomorrow,Action,443643,7.9,2014
The Theory of Everything,Biography,275057,7.7,2014
The Babadook,Drama,120497,6.8,2014
Divergent,Adventure,347499,6.7,2014
Sin City: A Dame to Kill For,Action,114899,6.5,2014
Need for Speed,Action,139153,6.5,2014
The Amazing Spider-Man 2,Action,326998,6.7,2014
Dracula Untold,Action,141759,6.3,2014
The Book of Life,Animation,47048,7.3,2014
The Purge: Anarchy,Action,99115,6.5,2014
Captain America: The Winter Soldier,Action,510608,7.8,2014
Transformers: Age of Extinction,Action,246318,5.7,2014
Teenage Mutant Ninja Turtles,Action,172213,5.9,2014
Lucifer,Crime,58703,8.3,2015
The Hobbit: The Battle of the Five Armies,Adventure,363557,7.4,2014
Clown,Horror,12690,5.7,2014
Birdman or (The Unexpected Virtue of Ignorance),Comedy,408054,7.8,2014
The Evil Dead,Horror,144850,7.6,1981
The Giver,Drama,88897,6.5,2014
What We Do in the Shadows,Comedy,73230,7.6,2014
Shin Gojira,Action,2915,7.6,2016
The Maze Runner,Action,318953,6.8,2014
Nightcrawler,Crime,304445,7.9,2014
The Fault in Our Stars,Drama,256899,7.8,2014
Hercules,Action,117904,6.0,2014
Neighbors,Comedy,224378,6.4,2014
The Expendables 3,Action,130394,6.1,2014
The Lego Movie,Animation,251297,7.8,2014
"Love Rosie",Comedy,72052,7.2,2014
Boyhood,Drama,272604,7.9,2014
American Sniper,Action,333228,7.3,2014
Big Hero 6,Animation,288143,7.9,2014
The Hunger Games: Mockingjay - Part 1,Adventure,313261,6.7,2014
Noah,Action,203170,5.8,2014
Predestination,Drama,172521,7.4,2014
Unbroken,Biography,106707,7.2,2014
Big Eyes,Biography,58303,7.0,2014
I Origins,Drama,78760,7.3,2014
Inherent Vice,Comedy,64396,6.7,2014
Relatos salvajes,Comedy,96058,8.1,2014
The Taking,Horror,16365,6.0,2014
300: Rise of an Empire,Action,229109,6.2,2014
22 Jump Street,Action,265037,7.1,2014
The Best of Me,Drama,45116,6.7,2014
Vampire Academy,Action,42267,5.6,2014
Seventh Son,Action,56323,5.5,2014
Deliver Us from Evil,Horror,55582,6.2,2014
Dawn of the Planet of the Apes,Action,323652,7.6,2014
Exodus: Gods and Kings,Action,131331,6.1,2014
Annabelle,Horror,85055,5.4,2014
The Loft,Mystery,35542,6.3,2014
Tusk,Comedy,32399,5.4,2014
The Interview,Comedy,251910,6.6,2014
The Voices,Comedy,36321,6.3,2014
"I Frankenstein",Action,67009,5.1,2014
The Judge,Crime,140247,7.4,2014
Burnt,Comedy,66999,6.6,2015
If I Stay,Drama,86751,6.8,2014
"As Above So Below",Horror,52008,6.2,2014
3 Days to Kill,Action,70604,6.2,2014
Before We Go,Comedy,27217,6.9,2014
Non-Stop,Action,204451,7.0,2014
That Awkward Moment,Comedy,78562,6.2,2014
Vincent,Short,18284,8.4,1982
Blended,Comedy,89403,6.5,2014
The Guest,Action,65590,6.7,2014
The Other Woman,Comedy,106752,6.0,2014
Left Behind,Action,25659,3.1,2014
Annie,Comedy,25486,5.3,2014
Cybernatural,Horror,46643,5.7,2014
The Gambler,Crime,49667,6.0,2014
The Salvation,Drama,24481,6.8,2014
A Million Ways to Die in the West,Comedy,138651,6.1,2014
Testament of Youth,Biography,15500,7.3,2014
Hunt for the Wilderpeople,Adventure,22696,8.0,2016
Transcendence,Drama,176429,6.3,2014
Sex Tape,Comedy,86018,5.1,2014
Honeytrap,Crime,325,5.6,2014
X+Y,Drama,19609,7.2,2014
Creep,Horror,14696,6.2,2014
The Drop,Crime,109038,7.1,2014
Ich seh ich seh,Drama,22916,6.7,2014
Eliza Graves,Drama,36059,6.8,2014
Horrible Bosses 2,Comedy,117742,6.3,2014
Jack Ryan: Shadow Recruit,Action,100550,6.2,2014
Man Down,Drama,414,6.5,2015
Star Wars: Episode VII - The Force Awakens,Action,594763,8.2,2015
The Revenant,Adventure,441653,8.1,2015
Joy,Biography,83047,6.6,2015
Spectre,Action,287494,6.8,2015
The VVitch: A New-England Folktale,Horror,79688,6.7,2015
The Big Short,Biography,206783,7.8,2015
Jurassic World,Action,429565,7.0,2015
Mad Max: Fury Road,Action,578046,8.1,2015
The Martian,Adventure,506641,8.0,2015
The Hateful Eight,Crime,294908,7.9,2015
The Danish Girl,Biography,92054,7.0,2015
Sicario,Action,212880,7.6,2015
Avengers: Age of Ultron,Action,479512,7.5,2015
Spotlight,Biography,220052,8.1,2015
Room,Drama,182004,8.2,2015
Fifty Shades of Grey,Drama,224710,4.1,2015
Ex Machina,Drama,304335,7.7,2015
The Lobster,Comedy,90934,7.1,2015
Mr. Right,Action,22752,6.3,2015
Mission: Impossible - Rogue Nation,Action,241599,7.4,2015
The Hunger Games: Mockingjay - Part 2,Adventure,179028,6.6,2015
P.S. I Love You,Drama,170878,7.1,2007
Black Mass,Biography,123475,7.0,2015
In the Heart of the Sea,Action,79623,6.9,2015
By the Sea,Drama,9662,5.3,2015
Knock Knock,Drama,47192,4.9,2015
Inside Out,Animation,367848,8.2,2015
Straight Outta Compton,Biography,127258,7.9,2015
Ant-Man,Action,331498,7.4,2015
The Invitation,Thriller,28593,6.7,2015
Brooklyn,Drama,82468,7.5,2015
Bridge of Spies,Drama,192125,7.6,2015
Cinderella,Drama,107389,7.0,2015
Green Room,Crime,41386,7.1,2015
Steve Jobs,Biography,102485,7.2,2015
Krampus,Comedy,33237,6.2,2015
Furious Seven,Action,284316,7.2,2015
Crimson Peak,Drama,88501,6.6,2015
Fathers & Daughters,Drama,12242,7.1,2015
Terminator Genisys,Action,194182,6.5,2015
Legends of Tomorrow,Action,42082,7.1,2016
Spy,Action,176403,7.1,2015
Eye in the Sky,Drama,44086,7.3,2015
Everest,Adventure,142142,7.1,2015
The Man Who Knew Infinity,Biography,18444,7.2,2015
The Visit,Horror,70878,6.2,2015
Carol,Drama,66848,7.2,2015
"Sister Sister",Comedy,8021,6.1,1994
The Intern,Comedy,142646,7.2,2015
Demolition,Drama,42400,7.0,2015
Goosebumps,Adventure,51870,6.3,2015
Hardcore Henry,Action,48460,6.8,2015
Desierto,Drama,2618,5.8,2015
The Unspoken,Thriller,423,4.9,2015
Trainwreck,Comedy,98763,6.3,2015
Creed,Drama,157387,7.7,2015
Southpaw,Drama,154514,7.4,2015
Victor Frankenstein,Drama,32516,6.0,2015
Pitch Perfect 2,Comedy,101190,6.5,2015
Colonia,Drama,22234,7.1,2015
San Andreas,Action,152249,6.1,2015
The Age of Adaline,Drama,99943,7.2,2015
Point Break,Action,38527,5.3,2015
Into the Forest,Drama,5638,6.0,2015
Hotel Transylvania 2,Animation,61666,6.7,2015
Pan,Adventure,43442,5.8,2015
The Dressmaker,Drama,25597,7.1,2015
Maze Runner: The Scorch Trials,Action,146153,6.4,2015
Youth,Comedy,45576,7.4,2015
Vacation,Adventure,69598,6.1,2015
Bone Tomahawk,Adventure,38814,7.1,2015
Scouts Guide to the Zombie Apocalypse,Action,28124,6.3,2015
Tomorrowland,Action,132793,6.5,2015
The Gift,Mystery,86698,7.1,2015
The Last Witch Hunter,Action,63434,6.0,2015
Insurgent,Adventure,160386,6.3,2015
The DUFF,Comedy,53584,6.5,2015
The Good Dinosaur,Animation,68749,6.8,2015
Focus,Comedy,155186,6.6,2015
Jupiter Ascending,Action,142878,5.4,2015
Fantastic Four,Action,114717,4.3,2015
Concussion,Biography,51021,7.1,2015
Muhammad: The Messenger of God,Biography,4266,8.1,2015
Equals,Drama,10357,6.1,2015
Magic Mike XXL,Comedy,39910,5.7,2015
The Longest Ride,Drama,53050,7.1,2015
Daddy's Home,Comedy,59706,6.1,2015
Knight of Cups,Drama,14456,5.7,2015
The Ridiculous 6,Comedy,28505,4.9,2015
Ted 2,Comedy,123758,6.4,2015
Minions,Animation,148448,6.4,2015
Macbeth,Drama,37044,6.7,2015
Burnt,Comedy,67059,6.6,2015
The Final Girls,Comedy,20599,6.6,2015
A Bigger Splash,Crime,10315,6.4,2015
Chappie,Action,177519,6.9,2015
En man som heter Ove,Comedy,7806,7.6,2015
Doctor Strange,Action,71532,8.0,2016
Jack Reacher: Never Go Back,Action,15821,6.4,2016
Inferno,Action,28671,6.4,2016
Sausage Party,Animation,61333,6.5,2016
The Accountant,Action,27335,7.7,2016
Nocturnal Animals,Drama,2060,8.1,2016
The Girl on the Train,Drama,25170,6.7,2016
Suicide Squad,Action,249658,6.6,2016
Ouija: Origin of Evil,Horror,6973,6.5,2016
Boo! A Madea Halloween,Comedy,1851,4.7,2016
Split,Horror,331,8.1,2016
Miss Peregrine's Home for Peculiar Children,Adventure,31522,7.0,2016
Keeping Up with the Joneses,Action,1964,5.8,2016
Hacksaw Ridge,Biography,6904,8.8,2016
Trolls,Animation,3307,6.7,2016
Captain Fantastic,Comedy,30203,8.0,2016
Star Trek Beyond,Action,111125,7.2,2016
Bad Moms,Comedy,30510,6.3,2016
Ghostbusters,Action,111399,5.4,2016
Arrival,Drama,2396,8.5,2016
Don't Breathe,Crime,55841,7.3,2016
Nerve,Adventure,37601,6.7,2016
Finding Dory,Animation,87660,7.6,2016
Gods of Egypt,Action,60592,5.5,2016
X-Men: Apocalypse,Action,210509,7.2,2016
Deadpool,Action,533503,8.1,2016
Independence Day: Resurgence,Action,93353,5.4,2016
The BFG,Adventure,21997,6.6,2016
Anthropoid,Biography,8307,7.3,2016
The Magnificent Seven,Action,35670,7.1,2016
Deepwater Horizon,Action,19531,7.5,2016
The Infiltrator,Biography,20436,7.1,2016
Lights Out,Horror,43426,6.5,2016
In a Valley of Violence,Western,1942,6.0,2016
Zootopia,Animation,216939,8.1,2016
The Legend of Tarzan,Action,80332,6.4,2016
Warcraft,Action,154327,7.1,2016
Captain America: Civil War,Action,340867,8.0,2016
Billy Lynn's Long Halftime Walk,Drama,348,6.4,2016
Moonlight,Drama,2184,8.7,2016
American Pastoral,Crime,742,6.2,2016
Me Before You,Drama,82868,7.5,2016
Batman v Superman: Dawn of Justice,Action,415255,6.8,2016
Alice Through the Looking Glass,Adventure,37184,6.3,2016
Shivaay,Action,4948,7.2,2016
King Cobra,Crime,928,5.8,2016
The Conjuring 2,Horror,108550,7.5,2016
Sully,Biography,34289,7.9,2016
Mike and Dave Need Wedding Dates,Adventure,30530,6.1,2016
The Whole Truth,Drama,3888,6.0,2016
